album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,We've Got It Goin' On - Radio Edit,7ohuz5TAlXozcD9UbQIOuz,0.758,0.875,D#,-4.518,minor,0.0363,0.0851,0,0.227,0.91,112.966,219467,4,D# minor,38
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,Quit Playing Games (With My Heart),5yokZ4I1JFUwPNv4U9d7Jk,0.8,0.875,B,-4.952,minor,0.0338,0.0615,2.79e-6,0.13,0.882,100.033,233533,4,B minor,47
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,As Long as You Love Me,1qMTqzU9Uy8z7EzzaiwgsD,0.775,0.816,C,-5.534,major,0.0281,0.164,0,0.126,0.753,98.219,214333,4,C major,64
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,Everybody (Backstreet's Back) - Extended Version,7l4jt8WkyzGHKCbbXusNNR,0.792,0.811,A#,-5.198,minor,0.0367,0.00602,1.55e-4,0.224,0.509,108.054,287293,4,A# minor,65
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,All I Have to Give,191Pp5XFwVuvt6LiVfuPtK,0.731,0.574,C#,-7.114,major,0.029,0.0644,0,0.0675,0.392,95.995,276573,4,C# major,51
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,Anywhere for You,3TsPWWNo820AxNmnhpOXkt,0.627,0.583,F,-6.746,minor,0.0366,0.327,0,0.142,0.299,129.674,281333,4,F minor,31
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,Hey Mr. DJ (Keep Playin' This Song),08u7ZuGaPhwvkUx7fAfupP,0.693,0.666,A#,-6.347,minor,0.0422,0.00402,0,0.098,0.651,92.015,265827,4,A# minor,35
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,I'll Never Break Your Heart,3WFelYrc0CWJoxVtrjoAGg,0.519,0.589,G,-6.005,minor,0.029,0.0885,0,0.153,0.341,161.992,287507,3,G minor,35
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,Darlin',7Eax1ZofOy7QAc7YZrUQGm,0.672,0.518,C,-8.281,minor,0.0262,0.103,0,0.111,0.309,122.074,331733,4,C minor,25
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,Get Down (You're the One for Me) - LP Edit No Rap,16D5wOoS1GUSfFxBJQvnXp,0.776,0.944,G#,-4.854,minor,0.0404,0.073,0,0.0866,0.757,113.012,230733,4,G# minor,38
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,Set Adrift on Memory Bliss,2ov9VR3a5oCjJWjkHHYkz8,0.683,0.585,G,-7.573,major,0.0745,0.0105,3.59e-5,0.0718,0.602,82.869,211867,4,G major,30
1NoX73FALQVUQfiOgb3zwH,Backstreet Boys,https://i.scdn.co/image/d9ee124775a563b322a8720ce07261eb7d0fc25b,1997,1997-01-01,58,If You Want to Be a Good Girl (Get Yourself a Bad Boy),32FVGrDLuomSD1VnWRz1CY,0.758,0.869,A,-5.474,minor,0.0568,0.146,0,0.0946,0.83,113.918,289933,4,A minor,33
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,Everybody (Backstreet's Back) - Radio Edit,6hDH3YWFdcUNQjubYztIsG,0.731,0.853,A#,-4.219,minor,0.0363,0.0352,0,0.268,0.605,108.016,225360,4,A# minor,61
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,As Long as You Love Me,6bH2owMgMDNW6zygbotS49,0.804,0.801,C,-4.892,major,0.0305,0.275,3.29e-5,0.215,0.826,98.12,221107,4,C major,62
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,All I Have to Give,38jcCqouO8TuRmJSvDyXiO,0.73,0.553,C#,-7.84,major,0.0286,0.0357,0,0.0679,0.358,96.021,274627,4,C# major,33
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,That's The Way I Like It,32zo1vFBdhbha9PS2hbCg0,0.676,0.95,G,-3.513,major,0.0473,0.0763,0,0.807,0.645,103.988,22e4,4,G major,29
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,10.000 Promises,26E8Z0SolBGTVHOXT0ZnCZ,0.56,0.346,C,-9.403,minor,0.0287,0.642,0,0.408,0.195,130.972,243973,3,C minor,30
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,Like A Child,2hefc2dKogKCDbLJJ3LNB9,0.546,0.504,C#,-8.239,major,0.0321,0.201,0,0.276,0.336,132.022,305493,4,C# major,24
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,Hey Mr. DJ (Keep Playin' This Song),5VrtjGcJ6XKdC5dip2XxcX,0.692,0.669,A#,-6.418,minor,0.0393,0.0037200000000000002,0,0.161,0.676,92.011,265400,4,A# minor,23
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,Set Adrift on Memory Bliss,633mRPLGbXlfM5WjPeKRzU,0.683,0.553,G,-8.199,major,0.0694,0.0102,3.13e-5,0.135,0.56,82.873,210907,4,G major,20
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,That's What She Said,3iZJhfWSzm2apy75dUqOQT,0.699,0.311,A,-12.963,major,0.0565,0.553,0,0.054,0.712,87.975,244893,4,A major,25
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,If You Want to Be a Good Girl (Get Yourself a Bad Boy),59NHEKmmUJcqJpwWxZfpn5,0.76,0.872,A,-5.581,minor,0.0555,0.121,0,0.0944,0.788,113.932,290640,4,A minor,23
5oEljuMoe9MXH6tBIPbd5e,Backstreets Back,https://i.scdn.co/image/ee92ebdd95bbed3ad3383fc1cd08def7c4dba5d8,1997-10-09,1997-10-09,54,If I Don't Have You,1R3cE0hPIDbDgPoBp598XY,0.561,0.495,D#,-7.953,minor,0.0253,0.47,0,0.108,0.42,157.916,274227,3,D# minor,25
